,title,category,date,location,url
0,CBD covered in smoke after toxic explosion,UPDATEDVIC15 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/multiple-crews-scramble-to-contain-factory-fire-in-melbournes-west-following-large-chemical-explosion/news-story/35fa2feb2832f0b6b2dda3bb6579d225
1,‘Suffered’: New claims on girl’s final hours,QLD Courts & Law19 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/14-members-of-cultlike-religious-group-the-saints-accused-of-causing-8yo-girls-death/news-story/f8f11e91482f50976d8a53dc323643cf
2,Beloved cult bakery to shut down,Restaurants & Bars33 minutes ago,2024-07-10,Australia,https://www.news.com.au/lifestyle/food/restaurants-bars/soaring-costs-claims-another-popular-eatery-which-despite-popularity/news-story/9be3091f08418c55240a58af83c4d53d
3,Woman’s alleged horror act with pet dog,WA37 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/western-australia/woman-allegedly-tries-to-shove-bag-of-meth-inside-miniature-dachshunds-anus/news-story/b0bbf30261380351788b287ffed17b66
4,’Not a dirty act’: Coaches defend Heeney,AFL44 minutes ago,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-coaches-call-for-brownlow-medal-eligibility-review/news-story/d6a7d0e2941405a5cb976c722083759b
5,Fresh twist in fatal hot chip brawl,QLD Courts & Law55 minutes ago,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/ricky-lefoe-appeals-sentence-for-manslaughter-of-ivan-susin-on-the-gold-coast/news-story/4757c66fa0bffb6241b95d02c1df55c2
6,The one man who never doubted Gagai’s return,NRL56 minutes ago,2024-07-10,Australia,https://www.news.com.au/sport/nrl/its-awesome-to-see-him-back-jacob-gagai-stoked-to-see-dane-back-in-the-maroons-side-as-the-younger-brother-forges-his-own-nrl-path/news-story/4f6eabf0f75b1287473ad40592ef136a
7,Grim warning as tax cuts hit wallets,Australian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/unsw-economics-expert-warns-of-stage-3-tax-cut-inflation-risks/news-story/aaf9a280605a9118557143ff2358de69
8,Plea from players after cash cutbacks,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/worried-players-call-for-clear-vision-on-ways-the-embattled-aleague-can-prosper/news-story/f8af4aad31499a2b019029bb294f1954
9,Girlfriend accused of partner’s dad’s death,VIC Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/victoria/courts-law/danielle-birchell-woman-accused-of-killing-expartners-elderly-father-kon-kritikos-granted-bail/news-story/db55e4c631f4d25ff54867e9400db3a3
10,Key detail in massive Aussie Olympic team,Olympics,2024-07-10,Australia,https://www.news.com.au/sport/olympics/female-athletes-make-up-the-largest-ever-percentage-of-australias-460strong-olympic-team/news-story/98036833364c980cef681d9c71badbac
11,‘Funny’: Teen’s texts after alleged gang rape,NSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/funny-teens-texts-after-alleged-bucks-party-gang-rape-revealed/news-story/1d807ea86f0970a1af9b603232218d8e
12,Bombers veterans in scrap for spots,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-dyson-heppell-todd-goldstein-both-available-for-essendon-clash/news-story/4f516122e1d8e903f38ec89e9cde10e1
13,Head knocks force young gun to retire,BreakingAFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/collingwoods-josh-carmichael-forced-in-to-retirement-after-a-series-of-concussions/news-story/f19597088daa875c0a2a785b80e657a6
14,Children’s PJs pulled from H&M stores,Retail,2024-07-10,Australia,https://www.news.com.au/finance/business/retail/childrens-pyjamas-pulled-from-hm-stores-around-australia/news-story/0a4361683063d068ad5baff2716716a0
15,Update on naked man found in boat,WA,2024-07-10,Australia,https://www.news.com.au/national/western-australia/update-on-naked-man-found-in-boat-near-cervantes-jetty-wa/news-story/cbd04bf6902e523f9aab6e4cd445aa1d
16,Property investor slams ‘boomer bashing’,UPDATEDWealth,2024-07-10,Australia,https://www.news.com.au/finance/money/wealth/boomer-privilege-at-its-best-victorian-couple-reveal-why-theyre-spending-their-childrens-inheritance-on-luxury-holidays/news-story/77e658356b58a8a6c8232cbc84fe76b5
17,Croc responsible for 12yo’s death killed,Animals,2024-07-10,Australia,https://www.news.com.au/technology/science/animals/crocodile-that-killed-12yo-girl-at-mango-creek-in-northern-territory-located-and-killed-police-say/news-story/5d6afcca4dc87a140babb5e8c1abba5f
18,Sad reason woman died on train tracks,UPDATEDNSW & ACT,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/news/woman-dies-after-being-hit-by-a-train-at-punchbowl-train-station/news-story/74cc8b3dc9794980bf287c950c1e4de1
19,Major changes coming to showpiece event,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/sydney-fc-to-meet-western-sydney-wanderers-in-aleagues-unite-round/news-story/efc6c11d4cae7d5550d2b955c76d9ad1
20,Car plunges into pool in horror crash,WA,2024-07-10,Australia,https://www.news.com.au/national/western-australia/passengers-of-a-honda-civic-that-crashed-through-multiple-fences-into-a-pool-have-escaped-without-injury/news-story/1f388c34927660db4d57e1af0e0b53a1
21,Qantas’ insane price on new lounge pass,Travel Deals,2024-07-10,Australia,https://www.news.com.au/travel/travel-deals/qantas-reveals-new-flexible-lounge-pass-for-staggeringly-cheap-monthly-fee/news-story/277d65055648d651cda181e1482600e9
22,‘Prolonged break’: Weather shifts on east coast,NSW & ACT,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/news/sunshine-is-finally-returning-sydney-to-welcome-the-sun-after-shivering-through-11-rainy-days/news-story/4223e27032324f7d977f6fca08e1bfdb
23,China hits back at cyber attack ‘smear’,Politics,2024-07-10,Australia,https://www.news.com.au/national/politics/china-disputes-smear-and-frame-cyber-attack-report/news-story/fe03a891d0326f998fca6bf60daf58d7
24,Stokes can’t get Ashes out of his head,Cricket,2024-07-10,Australia,https://www.news.com.au/sport/cricket/ben-stokes-reveals-next-ashes-behind-player-cleanout-for-test-series-against-west-indies/news-story/9a12973204f0e3199018db3431f123b4
25,Olympians’ stern warning to parents,Kids,2024-07-10,Australia,https://www.news.com.au/lifestyle/parenting/kids/top-athletes-cate-campbell-and-rheed-mccracken-give-warning-over-tech/news-story/29d2c90f753c800ffba16e124ef1cc45
26,‘Cold turkey’ change for Aussie star,Golf,2024-07-10,Australia,https://www.news.com.au/sport/golf/minjee-lee-adamant-she-can-find-her-best-for-olympics-after-full-equipment-change/news-story/9818f9874db27fb27834ba03202f0e3a
27,Sea Eagles make big call on Trbojevic,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nrl-teams-tom-trbojevic-experiment-over-as-sharks-settle-on-nicho-hynes-replacement/news-story/466745e6d1059ecb3a76af0979d978df
28,Mum returns to fatal house fire scene,NSW & ACT,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/news/mother-returns-to-lalor-park-home-after-alleged-house-fire-kills-three-young-children/news-story/14f2a64370e7049016c41f7e787d4702
29,Chaos after woman gets stuck under train,UPDATEDNSW & ACT,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/news/sydney-trains-thrown-into-chaos-as-woman-reportedly-stuck-under-train/news-story/47ed90e04bb2faf1b7f316fdeceff14f
30,Blues star backs Eagles coach contender,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-patrick-cripps-backs-ash-hansen-to-coach-west-coast/news-story/79cfd35d5dd6cdb7694480c6c5d902a0
31,‘Great for us’: Eels star’s pitch to club bosses,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/thats-out-of-my-pay-grade-clint-gutherson-calls-on-eels-officials-to-keep-trent-barrett-as-an-assistant-next-year/news-story/e3612a097142156cdf2cbb53fd094ff3
32,"Brownlow rule needs review, says rival",AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-patrick-cripps-calls-for-brownlow-eligibility-rule-review/news-story/d6d0853255a22d393d1f1e9e5363c518
33,Hynes set for significant time on the sidelines,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nrl-2024-nicho-hynes-set-to-miss-two-months-after-scans-confirm-serious-ankle-injury/news-story/fdde103958e11caaccbc825e9577b928
34,Albo’s terse reaction to Greens’ Hamas answer,Politics,2024-07-10,Australia,https://www.news.com.au/national/politics/prime-minister-anthony-albanese-rebukes-mehreen-faruqis-hamas-comment/news-story/67ba1ee797f945e7697be2423a1f5b3c
35,A-League star’s shock departure,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/talisman-tolgay-arslan-unexpectedly-parts-ways-with-melbourne-city/news-story/b690b7950491a3d0b0db9f8841ace259
36,Dad’s alleged act after abandoning 3 kids,QLD Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/queensland/courts-law/highly-intoxicated-no-money-dad-accused-of-making-tavern-trip-after-leaving-3-kids-in-car-overnight/news-story/11bf2b86a7dbafc6ad2a482491831959
37,Eagles coach gone by ‘mutual consent’,AFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/afl-2024-west-coast-sacks-premiership-coach-adam-simpson/news-story/f908d1829681bb7266c6f351d420dd6e
38,Man’s long-haul trip to scam 93yo: cops,Crime,2024-07-10,Australia,https://www.news.com.au/national/crime/victorian-man-allegedly-attempted-to-scam-tens-of-thousands-of-dollars-from-93yo-perth-woman/news-story/e168b8cbe1afd62756d0bcda62f35cc4
39,‘Cool story’: Blues rookie’s ultimate sacrifice,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/it-will-make-for-a-cool-story-one-day-mitch-barnett-rewarded-with-origin-debut-after-making-ultimate-sacrifice-for-his-state/news-story/cd95a6fa9bce1169de7956421c0a2e55
40,Souths provide major Latrell update,UPDATEDNRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nrl-2024-latrell-mitchell-gets-good-news-on-injured-foot-with-surgeons-ruling-out-seasonending-surgery/news-story/a8aa85738007d2b7a2d18aa9909b3c9f
41,Ex-Socceroo’s A-League return looms,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/mitch-langeraks-return-to-melbourne-victory-inches-closer-following-paul-izzos-departure-for-denmark/news-story/ff6fefa82177f09392ccfa3eb6708a21
42,Sydney makes huge speed limit move,On the Road,2024-07-10,Australia,https://www.news.com.au/technology/motoring/on-the-road/city-of-sydney-lowers-speed-limit-in-new-road-safety-push/news-story/f31e4d96647df8d9888d27975a1b2f21
43,Major update after woman’s body stuffed in bin,UPDATEDVIC Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/victoria/courts-law/victorian-police-arrest-a-man-after-womans-body-found-at-epping-waste-facility/news-story/d2a90f397bc71d65c4875ef1aec72383
44,Warner puts hand up for Aussie swansong,Cricket,2024-07-10,Australia,https://www.news.com.au/sport/cricket/david-warner-again-flags-tournament-aspirations-with-australia/news-story/0266d169c0593f1913300ff217627dd1
45,Shocking amount of illicit tobacco seized,VIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/funding-organised-crime-police-have-seized-more-than-three-tonnes-of-illicit-tobacco-in-a-major-crackdown/news-story/08878a5cd65a2aea7bdc8b7b3a958492
46,Woolworths called out for backflip,Retail,2024-07-10,Australia,https://www.news.com.au/finance/business/retail/woolworths-to-stock-aussie-flags-just-months-after-australia-day-controversy/news-story/bcf3a337b399ae2a2a0def74b8feefbd
47,Promising sign for battling renters emerges,Australian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/data-shows-slight-easing-in-ultra-tight-rental-vacancy-rates/news-story/695c5e207ee9bc3c60ac4d23b4b1fdb2
48,Plea after eerie footage of missing mum,VIC,2024-07-10,Australia,https://www.news.com.au/national/victoria/news/footage-of-missing-victorian-mother-captured-as-family-plead-for-help-to-find-her/news-story/8a54548d652978e9bd6294e8d05b82e9
49,Couple slammed for ‘gross’ dog act,Restaurants & Bars,2024-07-10,Australia,https://www.news.com.au/lifestyle/food/restaurants-bars/guzman-y-gomez-customers-left-fuming-after-pair-let-dog-sit-on-table-top/news-story/82bbcbe0af3bd6913d6d1a0822034e2e
50,Family dealt ‘sick’ blow after teen dies,Social Media,2024-07-10,Australia,https://www.news.com.au/technology/online/social/heartless-scammers-target-grieving-family-after-their-teenage-son-lost-his-battle-with-cancer/news-story/53531fdf7e12eea6bf01493b838b7f9e
51,Man arrested after woman stabbed to death,UPDATEDNSW & ACT Crime,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/crime/a-woman-has-died-after-suffering-two-stab-wounds-to-the-chest-in-kingswood-sydney/news-story/07ff3d20c1db233348a8b8794ed0830e
52,Teen’s heroic move after bus driver collapses,On the Road,2024-07-10,Australia,https://www.news.com.au/technology/motoring/on-the-road/schoolgirl-hailed-a-hero-for-steering-bus-to-safety-when-driver-suffered-heart-attack/news-story/0edd9044e2cb840dd72477d0433a80ba
53,When Aussies can finally ditch umbrellas,Environment,2024-07-10,Australia,https://www.news.com.au/technology/environment/punchy-spell-of-chilly-weather-perth-could-be-in-for-damaging-winds-as-a-cold-front-sweeps-through-on-tuesday/news-story/be532edf73b24ea717e84a20f57f906a
54,Warning as tax scams on the rise,Internet,2024-07-10,Australia,https://www.news.com.au/technology/online/internet/aussies-targeted-in-ato-tax-scams-as-people-submit-their-tax-returns/news-story/1533a9a5c23191cc927976be01e27baa
55,Dad charged after kids found in car,QLD Crime,2024-07-10,Australia,https://www.news.com.au/national/queensland/crime/father-charged-after-allegedly-leaving-three-children-in-a-car-at-a-service-station-overnight/news-story/972293f21a936f78b2b9ca055e119fe3
56,‘Help’: Teen’s texts before alleged gang rape,UPDATEDNSW / ACT Courts & Law,2024-07-10,Australia,https://www.news.com.au/national/nsw-act/courts-law/accused-bucks-party-gang-rapists-evidence-slammed-in-court-as-fanciful/news-story/2678b0e88cd131d1ed624e63a2fcdac2
57,Matildas star fit for Olympics,Football,2024-07-10,Australia,https://www.news.com.au/sport/football/katrina-gorry-ready-for-her-return-to-the-olympic-games-after-injury-scare/news-story/f4ac042c283953b118267caa13e037cc
58,Man to fight alleged boarding house murder,VIC Crime,2024-07-10,Australia,https://www.news.com.au/national/victoria/crime/steven-seach-death-roger-melville-pleads-not-guilty-to-alleged-community-housing-murder/news-story/99dc275296a35f758d2221c4c96ac4e9
59,Man attacked by shark at remote beach,UPDATEDAnimals,2024-07-10,Australia,https://www.news.com.au/technology/science/animals/suspected-shark-attack-on-a-remote-beach-in-australias-north/news-story/7c78b279abe2a3d61acd7dc608e94049
60,‘No excuses’: Fan banned for racist comments,UPDATEDAFL,2024-07-10,Australia,https://www.news.com.au/sport/afl/brisbane-lions-desperate-to-avoid-complacency-against-struggling-west-coast-eagles/news-story/660e27add27bbbb3ab1249a203b0525b
61,Popular pizza chain quietly shuts down,Australian Economy,2024-07-10,Australia,https://www.news.com.au/finance/economy/australian-economy/adelaide-pizza-chain-hey-bianca-shuts-stores-and-online-delivery-service/news-story/2079dc43df229995a0e50d00b6b7a537
62,Moses opens up on Eels coaching drama,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/there-is-no-disconnect-mitch-moses-thrilled-to-have-jason-ryles-as-his-coach-in-2025-shuts-down-rumours-of-a-rift-between-players-and-board/news-story/8a36ff32aa0abe8fe7894c47c70f3587
63,‘Concerning’ number of flu cases,Health Problems,2024-07-10,Australia,https://www.news.com.au/lifestyle/health/health-problems/more-than-3400-children-aged-1019-test-positive-for-influenza-in-one-week-nsw-health-data-reveals/news-story/0cccec53e22aae06b28e05385723de78
64,Child killed and 10 others injured in crash,BREAKINGNT,2024-07-10,Australia,https://www.news.com.au/national/northern-territory/breaking-child-killed-and-10-others-injured-in-crash/news-story/96f1ef5ee4a565a94051ae824a1c6c97
65,‘Sent for scans’: Hynes injury rocks Sharks,NRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nrl-2024-nicho-hynes-goes-down-at-sharks-training-with-ankle-injury/news-story/66bc514a16036bfc4f55dd04edc1a0d5
66,Injury scare iced for recalled NSW ace,UpdatedNRL,2024-07-10,Australia,https://www.news.com.au/sport/nrl/nsw-coach-lauded-the-form-of-bradman-best-who-has-been-sent-for-scans-on-his-hamstring-after-earning-a-recall/news-story/55eb74c116de035f4e08a3eb8a13facf
