Title,Categories,Ambiguous
West African bloc risks 'disintegration' if juntas quit,[],False
South African football star held up at gunpoint,['Sports'],False
Liberian president cuts his salary by 40%,['Politics'],False
Accused of witchcraft then murdered for land,[],False
Forget Ethiopia's Spice Girls - this singer salutes the true queens,[],False
Junta chiefs 'turn their backs' on West Africa bloc,[],False
Couple share secrets of 50-year marriage in Nigeria's 'divorce capital',[],False
Kenyan leader faces furious young people in online debate,[],False
Historic first as president takes on Kenya's online army,['Politics'],False
Tanzanian artist who burned president's picture jailed,['Politics'],False
"Flames, chains and grains: Africa's top shots",[],False
DR Congo soldiers sentenced to death for desertion,['Violence'],False
Ghana chef accused of faking Guinness World Records award,[],False
The ex-gangster who has become South Africa's sports minister,['Sports'],False
Rare plants hidden in toys - and other trafficking tactics,[],False
Pay rise freeze for Kenyan MPs after public anger,[],False
Cameroon president's daughter hints at same-sex relationship,['Politics'],False
Child marriage ban welcomed in Sierra Leone,[],False
The bid to heal the Horn of Africa port controversy,[],False
The school bringing hope to children fleeing Sudan's war,[],False
Tear gas fired at anti-government protesters in Kenya,['Politics'],False
Asthma: ‘People shouldn’t be paying to breathe’,[],False
Suspected female suicide bombers death toll rises to 32 in Nigeria,['Violence'],False
The Malawi music icon who became a 'soldier for the poor',[],False
Burkina Faso media guide,[],False
Mauritanian president comfortably wins re-election,['Politics'],False
South Africa's new coalition government unveiled,['Politics'],False
Tyla wins big as South African artists triumph at BET Awards,[],False
Kenya to borrow more after new taxes withdrawn - president,['Politics'],False
The winners and losers in South Africa's historic new government,['Politics'],False
I recognised my sister in video of refugees captured in Sudan war,[],False
The UK taxi driver still being paid as a Nigerian civil servant,[],False
Kenya protesters traumatised by abductions - lawyer,[],False
Protesters set fire to Kenya's parliament - but also saved two MPs,[],False
Kenyan court allows military deployment to quell protests,[],False
Top designer vows to regrow dreadlocks cut after Uganda arrest,[],False
"Rock stars, wrestlers and pilgrims: Africa's top shots",[],False
SA president hits out at coalition partner in fierce row,['Politics'],False
Police fire tear gas at renewed Kenya protests,[],False
Kenya's president withdraws tax plan after deadly protest,['Politics'],False
The Nigerian queer parties that offer liberation,[],False
Kenyan president's humbling shows power of African youth,['Politics'],False
Timbuktu's jihadist police chief guilty of war crimes,[],False
Thirteen killed and parliament set ablaze in Kenya protests - medics,['Violence'],False
New mpox strain in DR Congo 'most dangerous yet',[],False
"Brave, inspiring, crazy - the joy of managing Fela Kuti",[],False
Kenyan president faces tough choices after day of bloodshed,['Politics'],False
Protests flare in Nairobi over new tax laws,[],False
What are Kenya's controversial tax proposals?,[],True
Watch: Live BBC report interrupted by man with gun in Nairobi,[],False
Impeached South African judge becomes MP for Zuma's party,[],False
WATCH: Gunshots heard as protesters rush Kenya parliament compound,[],False
Millions of children going hungry in Sudan - Unicef,[],False
Deadly crush at rally as Rwanda election campaign starts,['Politics'],False
Malian singer detained in Italy in child custody row,[],False
How islanders are saving their Indian Ocean coral reef,[],False
Why a 12-year-old took action against period poverty,[],False
Niger confirms anti-junta rebels behind oil attack,[],False
Top comedian sworn in as Malawi's vice-president,['Politics'],False
Anger after protester shot dead at Kenya anti-tax demos,[],False
Gay sex ban in Namibia ruled unconstitutional,[],False
"Passion, pilots and panache: Africa's top shots",[],False
Attack on army base fuels Burkina Faso mutiny rumours,[],False
Police battle anti-tax demonstrators as Kenya protests spread,[],False
South African MP suspended for racist language,[],False
New faces of protest - Kenya's Gen Z anti-tax revolutionaries,[],False
Ugandan designer 'depressed' after dreadlocks cut in jail,[],False
Step-son of Malawi's ex-leader acquitted over migrant deaths,['Violence'],False
Deadly explosions rock Chad after ammunition depot fire,[],False
South Africa's Ramaphosa vows 'new era' at inauguration,[],False
Fatalities after fire engulfs large ammunition dump in Chad,[],False
Hunting the 'Big Five' on South Africa's walls,[],False
Kenya scraps bread tax as protesters tear-gassed,[],False
‘And my favourite place in Africa is…’,[],False
Rema's Calm Down makes Afrobeats history in the US,[],False
'I would be beheaded': Islamist insurgency flares in Mozambique,[],False
Mourners killed by car as Malawi VP's funeral convoy passes,['Violence'],False
Zuma's MK party to join South Africa's opposition alliance,[],False
"Cyril Ramaphosa - union leader, mine boss, president",['Politics'],False
Malawians pay tribute to vice-president killed in plane crash,"['Politics', 'Violence']",False
Muted Eid celebrations for millions of Nigerian Muslims,[],False
How a Kenyan farmer became a champion of climate change denial,[],False
Kenyan magistrate dies after shooting by policeman,[],False
Millions in daily struggle to find food as Sudan war rages,[],False
Cyril Ramaphosa re-elected South African president,['Politics'],False
ANC and DA agree on South Africa unity government,['Politics'],False
President toppled in Niger coup loses immunity,['Politics'],False
A landmark moment in South Africa for a humbled ANC,[],False
Ghana's first photojournalist turns 95,[],False
Ghana braces for three weeks of power cuts,[],False
"A week after an alleged coup attempt in Bolivia, confusion and conspiracy theories reign",[],False
Bolivia summons Argentine ambassador for reprimand over its claims of a fake coup,[],False
Economic turmoil in Bolivia fuels distrust in government and its claim of a ‘failed coup’,['Politics'],False
"Bolivian president orchestrated a ‘self-coup,’ political rival Evo Morales claims",['Politics'],False
Bolivia’s leader says the general accused of leading failed coup wanted to ‘take over’ as president,['Politics'],False
Relatives of detainees in coup attempt in Bolivia said troopers were deceived to follow orders,[],False
Bolivia’s leader says the general accused of leading failed coup wanted to ‘take over’ as president,['Politics'],False
Bolivia president angrily rejects allegations he was behind attempted coup,['Politics'],False
Families say those detained in Bolivia failed coup were tricked. President says it’s not his problem,['Politics'],False
US scenarios to advance past the first round at Copa America,[],False
"Who is General Zúñiga, the shadowy officer behind the thwarted coup in Bolivia?",[],True
Bolivia’s president lambasts accusations of a self-coup as ‘lies’ as his supporters rally,['Politics'],False
What triggered the coup attempt in Bolivia?,[],True
President Luis Arce’s career has mirrored Bolivia’s economic trajectory from boom to bust,['Politics'],False
Bolivian general arrested after apparent failed coup attempt as government faces new crisis,['Politics'],False
"Pulisic scores, assists on Balogun goal to lead U.S. over Bolivia 2-0 in Copa America opener",[],False
Bitter political fight in Bolivia is paralyzing the government as unrest boils over economic crisis,['Politics'],False
A brew of ancient coca is Bolivia’s buzzy new beer. But it’s unclear if the world will buy in,[],False
Luis Suarez will play in his fifth Copa America,[],False
Why you might have heard Paul Simon’s ‘The Sound of Silence’ at Spanish Mass,[],False
"Mexican president wanted to lead Latin America, but reality and his own rhetoric got in the way",['Politics'],False
AP Week in Pictures: Global,[],False
Former career US diplomat charged with secretly spying for Cuban intelligence for decades,[],False
"Former US ambassador arrested in Florida, accused of serving as an agent of Cuba, AP source says",[],False
Man United winger Antony to resume playing after allegations of domestic abuse,[],False
"Inspired by llamas, the desert and Mother Earth, these craftswomen weave sacred textiles",[],False
Messi misses Argentina’s 3-0 win in Bolivia; Brazil beats Peru in World Cup qualifiers,[],False
Neymar breaks Pele’s Brazil goal-scoring record in 5-1 win in South American World Cup qualifying,[],False
"Neymar says not 100% fit for Brazil, compares Saudi league to French",[],False
Bolivia’s opposition leader undergoes medical tests as his pre-trial detention drags on for months,[],False
A drought alert for receding Lake Titicaca has Indigenous communities worried for their future,[],False
Bolivia is the latest South American nation to use China’s yuan for trade in challenge to the dollar,[],False
Bolivia says it is interested in obtaining Iranian drone technology to protect its borders,['Technology'],False
Argentina demands that Bolivia explain its new defense agreement with Iran,[],False
"Bolivia boosts lithium resources estimate, cementing spot as global leader",[],False
Pope Francis expresses concern and dismay over alleged abuse by priests in Bolivia,[],False
Bolivian Catholics unfazed by sex scandals as they gear up for massive festival,[],False
"Bolivia government says trustee probing bank died by suicide, but some demand new investigation","['Politics', 'Violence']",False
"Stolen at birth, an adoptee sues Chile over thousands of similar dictatorship-era crimes",[],False
Train collision in Chile kills at least 2 people and injures 9 others,['Violence'],False
"In message to Russia, Chilean lawmakers meet in Antarctica to underline territorial claims",[],False
"An unusual autumn freeze grips parts of South America, giving Chile its coldest May in 74 years",[],False
Kolo Muani scores and assists as France fails to impress in 3-2 win over Chile,[],False
"Stolen at birth, adoptee sues Chile over thousands of similar dictatorship-era crimes",[],False
Latin America celebrates Pride and a history of fighting for rights,[],False
"Two trains collide head-on in Chile, police investigate causes of unusual incident",[],False
Canada advances to Copa America quarterfinals in first appearance after scoreless draw with Chile,[],False
"For Haitian diaspora, gang violence back home is personal as hopes dim for eventual return",[],False
"Native groups sit on a treasure trove of lithium. Now mines threaten their water, culture and wealth",[],False
Canada to play Netherlands in June 6 exhibition at Rotterdam,[],False
"Death of Chilean poet Pablo Neruda days after 1973 coup should be reinvestigated, court rules",['Violence'],False
"Illegally adopted during Chile’s dictatorship, they’re now reuniting with biological families",[],False
Ex-Catholic priest gets nearly 22 years in prison for attempted sexual abuse of a South Carolina boy,[],False
"Chilean ex-President Piñera drowned after a crash in a helicopter he was piloting, prosecutors say",['Politics'],False
Former Chilean President Sebastián Piñera dies in a helicopter crash. He was 74,['Politics'],False
Colombia declares a disaster because of wildfires and asks for international help,[],False
"Chilean voters reject conservative constitution, after defeating leftist charter last year",[],False
Chile arrests 55 people in a $275 million tax fraud case that officials call the country’s biggest,['Economics/Money Related'],False
"On Antarctica’s ice and in its seas, penguins in a warming world",[],False
Henry Kissinger’s unwavering support for brutal regimes still haunts Latin America,[],False
Henry Kissinger’s complicated legacy draws admiration and scorn from across the globe,[],False
"‘We absolutely need to act immediately,’ says UN chief during visit to Antarctica ahead of COP28",[],False
Chile president calls for referendum on new constitution proposal drafted by conservative councilors,['Politics'],False
Israel criticizes South American countries after they cut diplomatic ties and recall ambassadors,[],False
Bolivia severs diplomatic ties with Israel as Chile and Colombia recall their ambassadors,[],False
Powerful 6.6-earthquake strikes off the coast of Chile and is felt in neighboring Argentina,[],False
Young talents push U.S. women’s national soccer team to Pan American Games semifinal,['Sports'],False
"Skeet shooter Vincent Hancock and gymnast Jordan Chiles, U.S. flagbearers in Pan Am Games, win gold",[],False
"TV equipment stolen from Pan Am Games’ opening ceremony site in Chile, boosting security concerns",[],False
Pan American Games set to open in Chile with many athletes eyeing spots at the Paris Olympics,[],False
"Inspired by llamas, the desert and Mother Earth, these craftswomen weave sacred textiles",[],False
South America’s 2030 World Cup soccer bid seeks to rise above political tensions in the region,['Sports'],False
"In Chile, justice eludes victims of Catholic clergy sex abuse years after the crisis exploded",[],False
Ex-Wallaby Leali’ifano Samoa’s flyhalf against Chile in Rugby World Cup opener,[],False
Spain strips deceased former Chilean President Pinochet of a Spanish military honor,['Politics'],False
Chile president defends democracy 50 years after coup ushered in brutal military dictatorship,['Politics'],False
Curacao defeats Taiwan 2-0 in Little League World Series semifinal,[],False
Can Taiwan get back to the top at Little League World Series? Curacao is next obstacle,[],True
US-owned firms appear to help Venezuela avoid US sanctions,[],False
"Hawaii wins Little League title, beating Curacao 13-3",[],False
Hawaii beats Tennessee 5-1 to take spot at LLWS championship,[],False
Curacao and St. Maarten to welcome new currency more than a decade after becoming autonomous,[],False
"Hawaii, Curacao take different routes to LLWS championship",[],False
Curacao shuts out Taiwan 1-0 to move to LLWS championship,[],False
"Taiwan, Curacao look to win international bracket at LLWS",[],False
"Small but mighty, Curacao poised for Little League run",[],False
Cubs DFA 4-time Gold-Glove winner Andrelton Simmons,[],False
Disturbance in Caribbean likely to become tropical storm,[],False
Schools close as tropical disturbance nears Caribbean,[],False
Honduras downs Canada 2-1 in CONCACAF Nations League play,[],False
"Players return, Canada downs Curacao 4-0 in Nations League",[],False
Canada men back at practice after meeting with federation,[],False
Cubs finalize deal with slick-fielding shortstop Simmons ,[],False
"AP source: Cubs, Simmons agree to $4 million, 1-year deal",['Economics/Money Related'],False
Former Dutch queen Beatrix tests positive for coronavirus,[],False
Amnesty: Curacao violating rights of Venezuelan migrants,[],False
"Curaco beats Japan 5-4, moves to Little League title game",[],False
28 to remain on Scientology ship in Curacao in measles scare,[],False
Curacao officials board Scientology ship in measles case,[],False
Curacao to quarantine cruise ship for measles case,[],False
"Venezuela shuts sea, air links to Dutch islands amid turmoil",[],False
Mexico beats Curacao 2-0 to win CONCACAF Group C,[],False
Mexico beats Curacao 2-0 to win CONCACAF Group C,[],False
Curacao searches for attackers in airport shooting,[],False
Curacao politician fatally shot by gunmen at beach,[],False
Mexico eliminated from Copa America as Ecuador earns spot in quarterfinals after 0-0 draw,[],False
Venezuela advances to Copa America quarterfinals with a 1-0 win over Mexico on Rondón goal,[],False
Ecuador beats Jamaica 3-1 for first Copa America win since 2016 as Reggae Boyz eliminated,[],False
A timeline of the legal case involving WikiLeaks founder Julian Assange,[],False
Trial begins in Ecuador over murder of presidential candidate Villavicencio,['Politics'],False
Rainbow flags fly as LGBTQ+ community of Ecuador marches for equal rights,[],False
"Rescuers find more victims after landslide in Ecuador, raising death toll to eight",['Violence'],False
Migrants are rattled and unsure as deportations begin under new rule halting asylum,[],False
A court rules that pollution has violated the rights of a river that runs through Ecuador’s capital,[],False
"Judge in Ecuador orders judges, attorneys and officials held in jail as part of corruption probe",[],False
Timeline of the Julian Assange legal saga over extradition to the US on espionage charges,[],False
WikiLeaks founder Julian Assange will plead guilty in deal with US and be freed from prison,[],False
"Cádiz, Bello each score a goal, Venezuela beats short-handed Ecuador 2-1 at Copa America",[],False
Power outage leaves millions of Ecuadorians in the dark after transmission line fails,[],False
Ecuador stops waiving visas for Chinese nationals because of an increase in irregular migration,[],False
"Rescuers find more victims after a landslide in Ecuador, rising the death toll to 8",['Violence'],False
"Heavy rains set off landslides in Ecuador, killing at least 6 and leaving dozens missing",['Violence'],False
Ecuadorian lawmakers block indictment of vice president whom authorities accuse of collusion,['Politics'],False
"Spiraling criminal violence causes morgue to overflow, foul odors to spread in Ecuadorian city",[],False
"Besides Messi, there is Vinicius Júnior, Valverde, Garnacho and Pulisic to watch at Copa America",[],False
5 dogs with military intelligence unit in violence-plagued Ecuador given medals for service,[],False
"Almost 2 months after embassy raid, Ecuador is ‘ready’ to talk with Mexico and reach solution",[],False
Top UN court declines to issue preliminary orders in Mexico-Ecuador dispute over Quito embassy raid,[],False
Protesters rally in Peru against decree classifying seven gender identities as “mental illness”,[],False
Argentina and Messi will play 2 warm-up matches in the U.S. ahead of Copa America,[],False
"8 people were killed in a shooting attack at a bar in Ecuador, local police say",['Violence'],False
Ecuador defends raid on the Mexican Embassy and tells top UN court it acted to take in a criminal,[],False
Mexico is taking Ecuador to the top UN court over its storming of the Mexican Embassy,[],False
Ecuador files complaint against Mexico at top UN court in spat over embassy raid,[],False
Ecuadorians vote overwhelmingly in referendum to approve toughening fight against gangs,[],False
Ecuador rations electricity as drought persists in the northern Andes,[],False
Venezuela closes its embassy in Ecuador to protest the police raid on the Mexican Embassy there,[],False
AP Week in Pictures: Latin America and Caribbean,[],False
Mexico wants UN to suspend Ecuador over its police raid on the Mexican embassy in Quito,[],False
Mexico releases video of Ecuador’s raid on its embassy,[],False
Ecuadorians wanted an action man. President Noboa has fulfilled that role — embassy raid included,['Politics'],False
Mexico and Ecuador’s governments had been feuding before police broke into the Mexican Embassy,['Politics'],False
International leaders condemn Ecuador after police break into the Mexican Embassy in Quito,[],False
Paraguay fires coach Garnero after winless Copa America,[],False
"With Argentina’s president skipping Mercosur, the future of the trade alliance looks doubtful",['Politics'],False
Costa Rica eliminated from the Copa America despite beating Paraguay 2-1 in group stage finale,[],False
AP Week in Pictures: Latin America and Caribbean,[],False
AP Week in Pictures: Latin America and Caribbean,[],False
Paraguay President affirms Taiwan support,['Politics'],False
Easy election win for Paraguay’s long-ruling party,['Politics'],False
Two-horse race hours out from Paraguay election,['Politics'],False
Paraguay rounds up ex-military leaders in arms smuggling sting carried out with Brazil,[],False
Paraguay official resigns after signing agreement with fictional country,[],False
Chinese military launches drills around Taiwan as a ‘warning’ after a top island official went to US,[],False
New Paraguay president stresses South American country’s ties with Taiwan at swearing-in ceremony,['Politics'],False
Taiwan’s vice president leaves on Paraguay trip amid Chinese efforts to isolate the island,['Politics'],False
China criticizes the upcoming US visit of Taiwan’s presidential front-runner,['Politics'],False
Paraguay’s president-elect recommits to ties as Taiwan’s last ally in South America,['Politics'],False
Paraguay’s president-elect begins Taiwan visit that’s meant to foster closer ties,['Politics'],False
"German arrested trying to enter US Embassy in Paraguay, guns found in vehicle",[],False
Paraguay far-right populist presidential candidate arrested,['Politics'],False
Paraguay: Populist candidate fires up protesters after vote,[],False
Paraguay: Ex-president’s influence in question after victory,['Politics'],False
Paraguay’s long-ruling Colorado Party has easy election win,['Politics'],False
Paraguay’s long-ruling party romps to presidential victory,['Politics'],False
Coalition challenges Paraguay’s long-ruling Colorado Party,[],False
Paraguay launches corruption probe of former president,['Politics'],False
Paraguay leader praises Taiwan as ‘lighthouse of democracy’,[],False
"U.S. sanctions Paraguay VP, former president for corruption",['Politics'],False
Tensions over trade deals exposed at Mercosur summit,[],False
South American nations gather for joint 2030 World Cup bid,[],False
Soccer-inspired art show heads to World Cup in Qatar,['Sports'],False
Paraguay seeks clues in slaying of journalist in border city,[],False
"Paraguay vice president backtracks, says he won’t resign",['Politics'],False
Paraguay vice president to quit after US alleges corruption,['Politics'],False
Paraguay: Former president Lugo in induced coma after stroke,['Politics'],False
4 South American nations launch joint bid for 2030 World Cup,[],False
"Paraguay senator drowning appears accidental, officials say",[],False
US places former Paraguayan president on corruption list,['Politics'],False
"Cubas scores in 89th, Whitecaps beat Los Angeles FC 1-0",[],False
Clash with police leaves 1 Indigenous person dead in Brazil,[],False
Beef consumption in Argentina falls to lowest in a century,[],False
Lacalle Pou criticises Milei’s decision to skip Mercosur summit,[],False
Milei’s shock therapy sends demand for beef to 110-year low,[],False
"Milei's key reforms, 'Ley de Bases' and fiscal package, become law",[],False
Mondino tells Mercosur peers that bloc needs ‘adrenaline shock’,[],False
Milei walks fine line as he slams 'judicial persecution' of Bolsonaro,[],False
Milei backs Bolsonaro without attacking Lula in Brazil visit,[],False
Copa América crunch-time for surviving quartet,[],False
Milei takes his far-right roadshow to Lula’s backyard in Brazil,[],False
Milei under pressure for the first time,[],False
Milei lines up midnight ‘Pacto de Mayo’ signing,[],False
Milei now needs to fly domestic,[],False
Are youth votes wasted on the young?,[],True
US Embassy marks Independence Day with Palacio Bosch party,[],False
Chef Máximo Togni’s new restaurant is straight from the heart,[],False
Stories that caught our eye: June 28 to July 5,[],False
La Libertad Avanza wants lower voting age in time for 2025 midterms,[],False
Sturzenegger appointed ‘deregulation and state transformation’ minister,[],False
Tussle for Peronist protagonism clashes with calls for unity,[],False
Milei taps former Central Bank chief to deregulate Argentina,[],False
